Mach;altitude;net thrust;core fuel flow;afterburner fuel flow
Amb.MNf_in;Amb.alt_in;FN;WF;WFaft
-;m;N;kg/s;kg/s
--;--;--;--;--
--;--;--;--;--
0.3;1000;95072.6016;1.8;0.6
0.4;1000;91940.6589;1.8;0.6
0.5;1000;88914.3765;1.8;0.6
0.6;1000;85962.4569;1.8;0.6
0.7;1000;83072.968;1.8;0.6
0.8;1000;80221.1719;1.8;0.6
0.9;1000;77349.8293;1.8;0.6
0.3;1500;94857.0917;1.8;0.6
0.4;1500;91811.181;1.8;0.6
0.5;1500;88875.5037;1.8;0.6
0.6;1500;86010.6636;1.8;0.6
0.7;1500;83191.9306;1.8;0.6
0.8;1500;80412.7325;1.8;0.6
0.9;1500;77635.8999;1.8;0.6
0.3;2000;94572.5081;1.8;0.6
0.4;2000;91617.362;1.8;0.6
0.5;2000;88769.276;1.8;0.6
0.6;2000;85996.6703;1.8;0.6
0.7;2000;83261.2581;1.8;0.6
0.8;2000;80550.7646;1.8;0.6
0.9;2000;77858.4867;1.8;0.6
0.3;2500;94253.7471;1.8;0.6
0.4;2500;91359.3635;1.8;0.6
0.5;2500;88601.6193;1.8;0.6
0.6;2500;85916.7632;1.8;0.6
0.7;2500;83274.0659;1.8;0.6
0.8;2500;80640.9201;1.8;0.6
0.9;2500;78019.0552;1.8;0.6
0.3;3000;93912.6871;1.8;0.6
0.4;3000;91073.2038;1.8;0.6
0.5;3000;88370.2556;1.8;0.6
0.6;3000;85778.3759;1.8;0.6
0.7;3000;83224.0774;1.8;0.6
0.8;3000;80680.1965;1.8;0.6
0.9;3000;78127.4753;1.8;0.6
0.3;3500;93500.5072;1.8;0.6
0.4;3500;90761.1414;1.8;0.6
0.5;3500;88110.2726;1.8;0.6
0.6;3500;85574.0201;1.8;0.6
0.7;3500;83116.3994;1.8;0.6
0.8;3500;80663.3641;1.8;0.6
0.9;3500;78191.2087;1.8;0.6
0.3;4000;92972.1281;1.8;0.6
0.4;4000;90367.9945;1.8;0.6
0.5;4000;87827.671;1.8;0.6
0.6;4000;85336.6721;1.8;0.6
0.7;4000;82944.1332;1.8;0.6
0.8;4000;80586.3831;1.8;0.6
0.9;4000;78206.923;1.8;0.6
0.3;4500;92306.6422;1.8;0.6
0.4;4500;89858.4267;1.8;0.6
0.5;4500;87465.6624;1.8;0.6
0.6;4500;85082.8769;1.8;0.6
0.7;4500;82726.6561;1.8;0.6
0.8;4500;80451.4444;1.8;0.6
0.9;4500;78164.8689;1.8;0.6
0.3;5000;91502.3965;1.8;0.6
0.4;5000;89207.9445;1.8;0.6
0.5;5000;86990.0824;1.8;0.6
0.6;5000;84763.4733;1.8;0.6
0.7;5000;82496.9886;1.8;0.6
0.8;5000;80260.6205;1.8;0.6
0.9;5000;78066.3263;1.8;0.6
0.3;5500;90461.8804;1.8;0.6
0.4;5500;88418.6214;1.8;0.6
0.5;5500;86374.6763;1.8;0.6
0.6;5500;84334.6;1.8;0.6
0.7;5500;82222.9334;1.8;0.6
0.8;5500;80046.2665;1.8;0.6
0.9;5500;77913.9534;1.8;0.6
0.3;6000;89115.565;1.8;0.6
0.4;6000;87362.2378;1.8;0.6
0.5;6000;85622.7796;1.8;0.6
0.6;6000;83770.015;1.8;0.6
0.7;6000;81851.8872;1.8;0.6
0.8;6000;79811.5235;1.8;0.6
0.9;6000;77716.0085;1.8;0.6
0.3;6500;87758.4462;1.8;0.6
0.4;6500;86035.5323;1.8;0.6
0.5;6500;84605.1245;1.8;0.6
0.6;6500;83077.9387;1.8;0.6
0.7;6500;81352.6417;1.8;0.6
0.8;6500;79501.915;1.8;0.6
0.9;6500;77504.7907;1.8;0.6
0.3;7000;86504.4755;1.8;0.6
0.4;7000;84808.2562;1.8;0.6
0.5;7000;83346.61;1.8;0.6
0.6;7000;82143.6146;1.8;0.6
0.7;7000;80731.0277;1.8;0.6
0.8;7000;79079.325;1.8;0.6
0.9;7000;77251.6984;1.8;0.6
0.3;7500;85259.3588;1.8;0.6
0.4;7500;83632.4247;1.8;0.6
0.5;7500;82189.6005;1.8;0.6
0.6;7500;80953.0529;1.8;0.6
0.7;7500;79916.0927;1.8;0.6
0.8;7500;78531.746;1.8;0.6
0.9;7500;76909.6416;1.8;0.6
0.3;8000;83981.3611;1.8;0.6
0.4;8000;82442.2494;1.8;0.6
0.5;8000;81074.2244;1.8;0.6
0.6;8000;79847.3638;1.8;0.6
0.7;8000;78834.286;1.8;0.6
0.8;8000;77847.9357;1.8;0.6
0.9;8000;76448.5407;1.8;0.6
